pos,n,train_acc,cv_acc,auc,layer,is_context
59,30,1.0,0.8666666666666667,1.0,6,False
60,30,1.0,0.9333333333333332,1.0,6,False
61,30,1.0,0.8666666666666667,1.0,6,False
62,30,1.0,0.9333333333333332,1.0,6,False
63,30,1.0,0.9,1.0,6,False
64,30,0.9666666666666667,0.9,1.0,6,False
65,30,1.0,0.9,1.0,6,False
66,27,0.9629629629629629,0.9259259259259259,1.0,6,False
67,24,0.9583333333333334,0.7916666666666666,1.0,6,False
68,23,0.9565217391304348,0.875,1.0,6,False
0,30,0.5333333333333333,0.5333333333333333,0.5,8,True
1,30,0.5333333333333333,0.5333333333333333,0.5,8,True
2,30,0.5333333333333333,0.5333333333333333,0.5,8,True
3,30,0.5333333333333333,0.5333333333333333,0.5,8,True
4,30,0.5333333333333333,0.5333333333333333,0.5,8,True
5,30,0.5333333333333333,0.5333333333333333,0.5,8,True
6,30,0.5333333333333333,0.5333333333333333,0.5,8,True
7,30,0.5333333333333333,0.5333333333333333,0.5,8,True
8,30,0.5333333333333333,0.5333333333333333,0.5,8,True
9,30,0.5333333333333333,0.5333333333333333,0.5,8,True
10,30,0.5333333333333333,0.5333333333333333,0.5,8,True
11,30,0.5333333333333333,0.5333333333333333,0.5,8,True
12,30,0.5333333333333333,0.5333333333333333,0.5,8,True
13,30,0.5333333333333333,0.5333333333333333,0.5,8,True
14,30,0.5333333333333333,0.5333333333333333,0.5,8,True
15,30,0.5333333333333333,0.5333333333333333,0.5,8,True
16,30,0.9666666666666667,0.9666666666666667,0.9598214285714286,8,True
17,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,8,True
18,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,8,True
19,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,8,True
20,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
21,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,8,True
22,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,8,True
23,30,0.9666666666666667,0.8666666666666667,0.9977678571428572,8,True
24,30,0.9666666666666667,0.9,0.9977678571428572,8,True
25,30,0.9666666666666667,0.9,0.9977678571428571,8,True
26,30,0.9666666666666667,0.8666666666666667,0.9977678571428572,8,True
27,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,8,True
28,30,0.9666666666666667,0.9,0.9977678571428572,8,True
29,30,0.9666666666666667,0.9,0.9977678571428571,8,True
30,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
31,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
32,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
34,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,8,True
35,30,0.9666666666666667,0.9,0.9977678571428571,8,True
36,30,1.0,0.9,1.0,8,True
37,30,1.0,0.9666666666666667,1.0,8,True
38,30,1.0,0.9666666666666667,1.0,8,True
39,30,1.0,0.9,1.0,8,True
40,30,1.0,0.8666666666666667,1.0,8,False
41,30,1.0,0.9,1.0,8,False
42,30,1.0,0.8333333333333334,1.0,8,False
43,30,1.0,0.9,1.0,8,False
44,30,1.0,0.8333333333333334,1.0,8,False
45,30,1.0,0.8666666666666667,1.0,8,False
46,30,1.0,0.9,1.0,8,False
